,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
5,Hilo,US,82.13,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
8,Takoradi,GH,78.21,clear sky,4.8845,-1.7554,Raybow International Hotel
10,Kapaa,US,85.98,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
17,Bandarbeyla,SO,77.61,light rain,9.4942,50.8122,JABIR HOTEL
22,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
38,Butaritari,KI,79.84,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
56,Eydhafushi,MV,80.76,overcast clouds,5.1033,73.0708,Soneva Fushi
57,Faanui,PF,79.48,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
64,Champerico,GT,80.37,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
67,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
71,Alyangula,AU,87.85,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
73,Yenagoa,NG,75.29,few clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
77,Porto Novo,BJ,76.82,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
78,Touros,BR,76.93,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
80,Namatanai,PG,86.38,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
82,Padang,ID,77.05,light rain,-0.9492,100.3543,Mercure Padang
86,Vila Velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
87,Kavieng,PG,85.77,few clouds,-2.5744,150.7967,Nusa Island Retreat
88,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
93,Dicabisagan,PH,81.77,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
99,Bambanglipuro,ID,82.71,broken clouds,-7.95,110.2833,Puri Brata
106,Bengkulu,ID,82.18,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
109,Hithadhoo,MV,80.2,overcast clouds,-0.6,73.0833,Scoop Guest House
115,Kahului,US,82.42,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
121,Karratha,AU,82.71,clear sky,-20.7377,116.8463,ibis Styles Karratha
128,Kieta,PG,83.82,light rain,-6.2167,155.6333,Uruna Bay Retreat
136,Nabire,ID,87.76,broken clouds,-3.3667,135.4833,Hotel Nusantara I
140,Salalah,OM,77.09,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
149,Cockburn Town,TC,82.36,light rain,21.4612,-71.1419,Osprey Beach Hotel
