City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Sinjar,IQ,36.3209,41.8754,64.94,27,44,7.54,scattered clouds
1,Bluff,NZ,-46.6,168.3333,63.81,66,43,3.8,scattered clouds
2,Iqaluit,CA,63.7506,-68.5145,29.93,100,100,11.5,light snow
3,Port Elizabeth,ZA,-33.918,25.5701,59.09,96,100,11.5,shower rain
4,Avera,US,33.194,-82.5271,60.39,86,100,9.06,overcast clouds
5,Hilo,US,19.7297,-155.09,82.13,81,0,8.05,clear sky
6,Masvingo,ZW,-20.0637,30.8277,66.58,61,15,4.34,few clouds
7,Uvira,CD,-3.4067,29.1458,74.35,70,77,1.52,broken clouds
8,Takoradi,GH,4.8845,-1.7554,78.21,83,2,4.43,clear sky
9,Pevek,RU,69.7008,170.3133,6.17,96,100,5.48,overcast clouds
10,Kapaa,US,22.0752,-159.319,85.98,78,0,16.11,light rain
11,Bredasdorp,ZA,-34.5322,20.0403,55.33,71,100,9.91,overcast clouds
12,New Milford,US,40.9327,-74.0179,56.82,69,0,0.0,clear sky
13,Hermanus,ZA,-34.4187,19.2345,55.8,70,100,15.48,overcast clouds
14,Puerto Ayora,EC,-0.7393,-90.3518,65.55,96,82,7.67,broken clouds
15,Nola,IT,40.922,14.5329,63.63,69,0,1.79,clear sky
16,Albany,US,42.6001,-73.9662,50.59,54,59,2.46,broken clouds
17,Bandarbeyla,SO,9.4942,50.8122,77.61,81,24,5.53,light rain
18,Saldanha,ZA,-33.0117,17.9442,57.25,67,2,22.55,clear sky
19,Torbay,CA,47.6666,-52.7314,48.76,87,40,16.11,scattered clouds
20,Cape Town,ZA,-33.9258,18.4232,58.26,60,0,24.16,clear sky
21,Bethel,US,41.3712,-73.414,49.95,69,0,0.0,clear sky
22,Vaini,TO,-21.2,-175.2,80.76,83,75,13.8,broken clouds
23,Ribeira Grande,PT,38.5167,-28.7,57.78,69,80,8.01,broken clouds
24,Busselton,AU,-33.65,115.3333,60.06,56,96,12.21,overcast clouds
25,Poum,NC,-20.2333,164.0167,78.33,74,5,16.93,clear sky
26,Arcachon,FR,44.5875,-1.0519,61.12,100,40,4.61,mist
27,Dikson,RU,73.5069,80.5464,30.87,98,100,24.76,snow
28,Terney,RU,45.0503,136.6092,48.06,61,34,6.87,scattered clouds
29,Saint-Louis,SN,16.3333,-15.0,83.1,15,52,8.43,broken clouds
30,Tuktoyaktuk,CA,69.4541,-133.0374,10.4,79,75,8.05,light snow
31,Ponta Do Sol,PT,32.6667,-17.1,72.72,83,80,5.99,broken clouds
32,Airai,TL,-8.9266,125.4092,73.2,66,95,1.39,overcast clouds
