City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saskylakh,RU,2022-10-27 22:49:18,71.9167,114.0833,-1.12,99,85,4.68
1,Belaya Gora,RU,2022-10-27 22:49:18,68.5333,146.4167,10.78,87,100,6.49
2,San Rafael Del Sur,NI,2022-10-27 22:49:19,11.8485,-86.4384,88.77,79,83,2.21
3,Bredasdorp,ZA,2022-10-27 22:45:30,-34.5322,20.0403,59.14,83,25,2.13
4,Grants Pass,US,2022-10-27 22:49:20,42.439,-123.3284,63.46,51,0,9.22
5,Hobart,AU,2022-10-27 22:47:42,-42.8794,147.3294,58.26,97,100,8.05
6,Ler,SS,2022-10-27 22:49:21,8.3018,30.1418,74.17,67,15,2.98
7,Albany,US,2022-10-27 22:45:16,42.6001,-73.9662,52.34,59,0,7.25
8,Olafsvik,IS,2022-10-27 22:49:22,64.8945,-23.7142,39.63,80,95,8.97
9,Victoria,HK,2022-10-27 22:47:18,22.2855,114.1577,75.38,78,14,5.99
10,Upernavik,GL,2022-10-27 22:49:23,72.7868,-56.1549,27.12,95,100,12.44
11,East London,ZA,2022-10-27 22:48:18,-33.0153,27.9116,66.97,76,100,15.5
12,Asau,RO,2022-10-27 22:49:23,46.4333,26.4,43.72,84,0,3.65
13,Port Alfred,ZA,2022-10-27 22:49:02,-33.5906,26.891,63.18,93,66,3.0
14,Arraial Do Cabo,BR,2022-10-27 22:47:51,-22.9661,-42.0278,76.86,83,0,16.11
15,Kodinsk,RU,2022-10-27 22:49:24,58.6881,99.1844,30.02,71,100,3.09
16,Kirakira,SB,2022-10-27 22:49:24,-10.4544,161.9205,84.06,58,12,2.1
17,Ushuaia,AR,2022-10-27 22:44:10,-54.8,-68.3,44.26,65,75,5.75
18,Tautira,PF,2022-10-27 22:49:25,-17.7333,-149.15,77.56,66,77,4.68
19,Tabuk,PH,2022-10-27 22:49:26,17.4189,121.4443,74.88,92,100,7.72
20,Bambous Virieux,MU,2022-10-27 22:49:26,-20.3428,57.7575,73.65,83,40,11.5
21,Saint-Joseph,RE,2022-10-27 22:49:27,-21.3667,55.6167,68.38,74,23,8.23
22,New Norfolk,AU,2022-10-27 22:49:28,-42.7826,147.0587,56.91,90,100,4.0
23,Saint George,US,2022-10-27 22:45:22,37.1041,-113.5841,63.95,19,0,3.44
24,Hilo,US,2022-10-27 22:44:41,19.7297,-155.09,82.13,71,0,5.75
25,Ambulu,ID,2022-10-27 22:49:28,-8.345,113.6058,75.13,81,97,3.15
26,Mataura,NZ,2022-10-27 22:49:29,-46.1927,168.8643,60.55,76,100,5.66
